Time 	 Temp(C) 	 Dig[mA] 	 Ana[mA] 	 Aux[mA] 	 Dig[V] 	 vth1 
05-Nov-12:01:35	26.34	5.3	23.8	20.2	1.184	-99
05-Nov-12:02:28	23.03	5.3	23.7	20.2	1.184	-99
05-Nov-12:02:46	23.84	5.3	23.7	20.2	1.184	-99
05-Nov-12:03:05	25.37	5.3	23.7	20.2	1.183	-99
05-Nov-12:03:25	24.97	5.2	23.7	20.2	1.184	-99
05-Nov-12:04:36	24.20	5.3	23.8	20.2	1.184	-99
05-Nov-12:08:55	26.72	5.4	23.8	20.2	1.183	-99
05-Nov-12:09:10	25.25	5.3	23.7	20.2	1.184	-99
05-Nov-12:09:19	25.99	5.3	23.7	20.2	1.184	-99
05-Nov-12:10:01	26.28	5.3	23.7	20.2	1.184	-99
05-Nov-12:10:11	26.28	5.3	23.8	20.2	1.183	-99
